epoch,train_loss,val_loss,lr,time_s,improved
1,0.15777928,0.10782349,1.00000000e-04,32.0,True
2,0.07620931,0.05326309,1.00000000e-04,31.4,True
3,0.04023633,0.03038291,1.00000000e-04,31.4,True
4,0.02100087,0.01617269,1.00000000e-04,30.4,True
5,0.01240163,0.01057412,1.00000000e-04,30.9,True
6,0.00764985,0.00641961,1.00000000e-04,30.8,True
7,0.00507087,0.00434500,1.00000000e-04,30.4,True
8,0.00362413,0.00313666,1.00000000e-04,30.4,True
9,0.00258679,0.00211178,1.00000000e-04,30.8,True
10,0.00168799,0.00135915,1.00000000e-04,30.3,True
11,0.00116335,0.00101145,1.00000000e-04,30.5,True
12,0.00084743,0.00073136,1.00000000e-04,30.6,True
13,0.00063524,0.00053518,1.00000000e-04,30.8,True
14,0.00048134,0.00043595,1.00000000e-04,30.7,True
15,0.00037053,0.00033282,1.00000000e-04,30.6,True
16,0.00028951,0.00027193,1.00000000e-04,30.5,True
17,0.00022724,0.00021582,1.00000000e-04,30.6,True
18,0.00018531,0.00017993,1.00000000e-04,30.6,True
19,0.00015134,0.00016160,1.00000000e-04,30.6,True
20,0.00012501,0.00012458,1.00000000e-04,31.0,True
21,0.00010547,0.00011536,1.00000000e-04,30.7,True
22,0.00009057,0.00013354,1.00000000e-04,30.7,False
23,0.00007994,0.00009389,1.00000000e-04,30.8,True
24,0.00006802,0.00008454,1.00000000e-04,31.0,True
25,0.00006114,0.00007577,1.00000000e-04,30.8,True
26,0.00005450,0.00007613,1.00000000e-04,30.6,False
27,0.00004979,0.00006573,1.00000000e-04,30.5,True
28,0.00004443,0.00006494,1.00000000e-04,30.5,False
29,0.00004288,0.00006147,1.00000000e-04,31.4,True
30,0.00003856,0.00005727,1.00000000e-04,31.3,True
31,0.00003737,0.00007192,1.00000000e-04,31.4,False
32,0.00003636,0.00005536,1.00000000e-04,31.8,True
33,0.00003173,0.00005647,1.00000000e-04,31.3,False
34,0.00003061,0.00005461,1.00000000e-04,31.2,False
35,0.00002995,0.00005630,1.00000000e-04,31.2,False
36,0.00002838,0.00005196,1.00000000e-04,31.3,True
37,0.00002594,0.00005244,1.00000000e-04,31.1,False
38,0.00002516,0.00004978,1.00000000e-04,31.2,True
39,0.00002374,0.00005001,1.00000000e-04,31.2,False
40,0.00002361,0.00005177,1.00000000e-04,31.2,False
41,0.00002287,0.00004968,1.00000000e-04,31.1,False
42,0.00002271,0.00006501,1.00000000e-04,31.2,False
43,0.00002759,0.00004779,1.00000000e-04,31.8,True
44,0.00002055,0.00004869,1.00000000e-04,31.8,False
45,0.00001911,0.00004721,1.00000000e-04,31.8,False
46,0.00001852,0.00004889,1.00000000e-04,31.8,False
47,0.00001974,0.00004719,1.00000000e-04,31.8,False
48,0.00002063,0.00005442,1.00000000e-04,31.6,False
49,0.00002128,0.00004687,1.00000000e-04,31.7,False
50,0.00001709,0.00004786,1.00000000e-04,31.8,False
51,0.00001614,0.00004688,1.00000000e-04,31.8,False
52,0.00001588,0.00005302,1.00000000e-04,30.8,False
53,0.00001641,0.00005296,1.00000000e-04,31.2,False
